Date,Mark/Gold
1919-06-13,3.2154340836012865
1919-06-14,3.2154340836012865
1919-06-15,3.2154340836012865
1919-06-16,3.2154340836012865
1919-06-17,3.2154340836012865
1919-06-18,3.2154340836012865
1919-06-19,3.2154340836012865
1919-06-20,3.2154340836012865
1919-06-21,3.2154340836012865
1919-06-22,3.2154340836012865
1919-06-23,3.2154340836012865
1919-06-24,3.2154340836012865
1919-06-25,3.2154340836012865
1919-06-26,3.2154340836012865
1919-06-27,3.2154340836012865
1919-06-28,3.2154340836012865
1919-06-29,3.2154340836012865
1919-06-30,3.2154340836012865
1919-07-01,3.4965034965034967
1919-07-02,3.4965034965034967
1919-07-03,3.4965034965034967
1919-07-04,3.4965034965034967
1919-07-05,3.4965034965034967
1919-07-06,3.4965034965034967
1919-07-07,3.4965034965034967
1919-07-08,3.4965034965034967
1919-07-09,3.4965034965034967
1919-07-10,3.4965034965034967
1919-07-11,3.4965034965034967
1919-07-12,3.4965034965034967
1919-07-13,3.4965034965034967
1919-07-14,3.4965034965034967
1919-07-15,3.4965034965034967
1919-07-16,3.4965034965034967
1919-07-17,3.4965034965034967
1919-07-18,3.4965034965034967
1919-07-19,3.4965034965034967
1919-07-20,3.4965034965034967
1919-07-21,3.4965034965034967
1919-07-22,3.4965034965034967
1919-07-23,3.4965034965034967
1919-07-24,3.4965034965034967
1919-07-25,3.4965034965034967
1919-07-26,3.4965034965034967
1919-07-27,3.4965034965034967
1919-07-28,3.4965034965034967
1919-07-29,3.4965034965034967
1919-07-30,3.4965034965034967
1919-07-31,3.4965034965034967
1919-08-01,4.366812227074235
1919-08-02,4.366812227074235
1919-08-03,4.366812227074235
1919-08-04,4.366812227074235
1919-08-05,4.366812227074235
1919-08-06,4.366812227074235
1919-08-07,4.366812227074235
1919-08-08,4.366812227074235
1919-08-09,4.366812227074235
1919-08-10,4.366812227074235
1919-08-11,4.366812227074235
1919-08-12,4.366812227074235
1919-08-13,4.366812227074235
1919-08-14,4.366812227074235
1919-08-15,4.366812227074235
1919-08-16,4.366812227074235
1919-08-17,4.366812227074235
1919-08-18,4.366812227074235
1919-08-19,4.366812227074235
1919-08-20,4.366812227074235
1919-08-21,4.366812227074235
1919-08-22,4.366812227074235
1919-08-23,4.366812227074235
1919-08-24,4.366812227074235
1919-08-25,4.366812227074235
1919-08-26,4.366812227074235
1919-08-27,4.366812227074235
1919-08-28,4.366812227074235
1919-08-29,4.366812227074235
1919-08-30,4.366812227074235
1919-08-31,4.366812227074235
1919-09-01,5.319148936170213
1919-09-02,5.319148936170213
1919-09-03,5.319148936170213
1919-09-04,5.319148936170213
1919-09-05,5.319148936170213
1919-09-06,5.319148936170213
1919-09-07,5.319148936170213
1919-09-08,5.319148936170213
1919-09-09,5.319148936170213
1919-09-10,5.319148936170213
1919-09-11,5.319148936170213
1919-09-12,5.319148936170213
1919-09-13,5.319148936170213
1919-09-14,5.319148936170213
1919-09-15,5.319148936170213
1919-09-16,5.319148936170213
1919-09-17,5.319148936170213
1919-09-18,5.319148936170213
1919-09-19,5.319148936170213
1919-09-20,5.319148936170213
1919-09-21,5.319148936170213
1919-09-22,5.319148936170213
1919-09-23,5.319148936170213
1919-09-24,5.319148936170213
1919-09-25,5.319148936170213
1919-09-26,5.319148936170213
1919-09-27,5.319148936170213
1919-09-28,5.319148936170213
1919-09-29,5.319148936170213
1919-09-30,5.319148936170213
1919-10-01,6.024096385542169
1919-10-02,6.024096385542169
1919-10-03,6.024096385542169
1919-10-04,6.024096385542169
1919-10-05,6.024096385542169
1919-10-06,6.024096385542169
1919-10-07,6.024096385542169
1919-10-08,6.024096385542169
1919-10-09,6.024096385542169
1919-10-10,6.024096385542169
1919-10-11,6.024096385542169
1919-10-12,6.024096385542169
1919-10-13,6.024096385542169
1919-10-14,6.024096385542169
1919-10-15,6.024096385542169
1919-10-16,6.024096385542169
1919-10-17,6.024096385542169
1919-10-18,6.024096385542169
1919-10-19,6.024096385542169
